Week,Date,Picker,Symbol,Price,Price at Pick ,Mon,Tue ,Wed ,Thur,Fri,Return 1 Week ,Return 1 Week %,Current Price,Total Return
1,,,,,,,,,,,,,,
,11/18/2024,Patrick,PLUG,$1.09,$1.89,$1.99,$1.92,$1.92,$1.89,$1.92,$0.03,1.6%,$1.09,-42.3%
,11/18/2024,Taylor,BHVN,$14.56,$44.11,$45.41,$46.30,$46.83,$46.83,$45.59,$1.48,3.4%,$14.56,-67.0%
,11/18/2024,Logan,,,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
,11/25/2024,Patrick,CF,$102.48,$90.37,$87.39,$88.14,$88.66,-,$89.66,-$0.71,-0.8%,$102.48,13.4%
,11/25/2024,Taylor,LAW,$4.20,$5.84,$5.91,$5.80,$5.88,$5.88,$5.92,$0.08,1.4%,$4.20,-28.1%
,11/25/2024,Logan,F,$10.42,$11.30,$11.40,$11.10,$11.10,$11.10,$11.13,-$0.17,-1.5%,$10.42,-7.8%
,,,,,,,,,,,,,,
Winner,Taylor,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
,12/2/2024,Patrick,DJT,$18.51,$31.87,$32.49,$33.66,$35.26,$33.74,$34.74,$2.88,9.0%,$18.51,-41.9%
,12/2/2024,Taylor,BE,$21.34,$27.55,$26.92,$26.14,$26.28,$26.28,$27.08,-$0.47,-1.7%,$21.34,-22.5%
,12/2/2024,Logan,ROKU,$80.63,$69.65,$77.05,$75.69,$82.94,$82.94,$84.12,$14.47,20.8%,$80.63,15.8%
,,,,,,,,,,,,,,
Winner,Logan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
,12/9/2024,Patrick,JMIA,$3.11,$4.70,$5.06,$4.62,$4.75,$4.64,$4.35,-$0.35,-7.4%,$3.11,-33.8%
,12/9/2024,Taylor,RBLX,$101.12,$59.22,$56.93,$56.26,$59.89,$59.89,$59.60,$0.38,0.6%,$101.12,70.8%
